"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL550011";"CHLORPYRAMIN HYDROCHLORIDE";"None";"326.27";"0";"3.30";"1";"CN(C)CCN(Cc1ccc(Cl)cc1)c1ccccn1.Cl";"Activity";"";"";"";"";"";"Not Evaluated";"";"";"";"";"";"0";"CHEMBL1026077";"Relocalization of FAK-paxillin complex from cytoplasm to nucleus in human BT474 cells at 10 uM after 24 hrs by confocal microscopy";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BT-474";"None";"";"";"";"CHEMBL614529";"BT-474";"Homo sapiens";"CELL-LINE";"CHEMBL1158487";"1";"Scientific Literature";"J Med Chem";"2009";"CHEMBL3307636";"";"";""
"CHEMBL564932";"POCHOXIME A";"None";"476.96";"0";"4.13";"8";"O=C1OCC/C=C/CC/C=C/C(=N/OCC(=O)N2CCCCC2)Cc2c(Cl)c(O)cc(O)c21";"Activity";"";"";"";"";"";"Active";"";"";"";"";"";"0";"CHEMBL1058977";"Induction of p-AKT degradation in human BT474 cells xenografted in ICR-SCID mouse at 100 mg/kg, ip administered after 3 weeks tumor implantation after 6 to 48 hrs by Western blotting";"F";"BAO_0000218";"organism-based format";"Homo sapiens";"None";"None";"BT-474";"None";"DOSE = 100.0 mg.kg-1 | ROUTE: Intraperitoneal";"";"";"CHEMBL614529";"BT-474";"Homo sapiens";"CELL-LINE";"CHEMBL1153018";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"CHEMBL3307636";"";"";""
"CHEMBL557689";"";"None";"468.41";"0";"4.33";"34f";"CCNC(=O)c1cc2c(-c3cc(OCCCN(C)C)c(Cl)cc3Cl)nc(N)nc2s1";"GI50";"'='";"72.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1030422";"Growth inhibition of human BT474 cells after 24 hrs by SRB assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BT-474";"None";"";"";"";"CHEMBL614529";"BT-474";"Homo sapiens";"CELL-LINE";"CHEMBL1158486";"1";"Scientific Literature";"J Med Chem";"2009";"CHEMBL3307636";"";"";""
"CHEMBL157084";"";"None";"477.97";"0";"4.75";"1";"CS(=O)(=O)CCNc1nc(-c2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2)cs1";"Therapeutic index";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL743495";"In vivo BT474 tumor inhibition in mice";"F";"BAO_0000218";"organism-based format";"None";"None";"None";"BT-474";"None";"";"";"";"CHEMBL614529";"BT-474";"Homo sapiens";"CELL-LINE";"CHEMBL1136583";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"CHEMBL3307636";"";"";""
"CHEMBL475446";"";"None";"586.11";"2";"5.94";"29";"CS(=O)(=O)CCNCc1ccc(-c2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)[nH]1";"IC50";"'='";"630.0";"nM";"6.20";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL990360";"Antiproliferative activity against human BT474 cells expressing ErbB2 after 72 hrs by CTG assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BT-474";"None";"";"";"";"CHEMBL614529";"BT-474";"Homo sapiens";"CELL-LINE";"CHEMBL1143296";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"CHEMBL3307636";"";"";""
"CHEMBL456559";"";"None";"174.63";"0";"0.02";"14";"Cl.Nc1cc(N)c(N)cc1N";"Activity";"";"";"";"";"";"Dose-dependent effect";"";"";"";"";"";"0";"CHEMBL939551";"Cytotoxicity against human BT474 cells assessed as decrease in cell viability after 24 hrs by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BT-474";"None";"";"";"";"CHEMBL614529";"BT-474";"Homo sapiens";"CELL-LINE";"CHEMBL1140207";"1";"Scientific Literature";"J Med Chem";"2008";"CHEMBL3307636";"";"";""
"CHEMBL555136";"";"None";"440.31";"0";"2.86";"34g";"CCNC(=O)c1cc2c(-c3cc(OCC(N)=O)c(Cl)cc3Cl)nc(N)nc2s1";"GI50";"'='";"135.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1030422";"Growth inhibition of human BT474 cells after 24 hrs by SRB assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BT-474";"None";"";"";"";"CHEMBL614529";"BT-474";"Homo sapiens";"CELL-LINE";"CHEMBL1158486";"1";"Scientific Literature";"J Med Chem";"2009";"CHEMBL3307636";"";"";""
"CHEMBL562049";"";"None";"390.88";"0";"2.72";"IVd";"COc1c(C)cnc(CN2c3nc(N)nc(Cl)c3NC(=O)[C@@H]2C(C)C)c1C";"IC50";"'='";"760.0";"nM";"6.12";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1030297";"Growth inhibition of human BT474 cells";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BT-474";"None";"";"";"";"CHEMBL614529";"BT-474";"Homo sapiens";"CELL-LINE";"CHEMBL1151905";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"CHEMBL3307636";"";"";""
"CHEMBL560908";"";"None";"404.90";"0";"3.11";"IVe";"COc1c(C)cnc(CN2c3nc(N)nc(Cl)c3NC(=O)[C@@H]2CC(C)C)c1C";"IC50";"'='";"490.0";"nM";"6.31";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1030297";"Growth inhibition of human BT474 cells";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BT-474";"None";"";"";"";"CHEMBL614529";"BT-474";"Homo sapiens";"CELL-LINE";"CHEMBL1151905";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"CHEMBL3307636";"";"";""
"CHEMBL1088558";"";"None";"358.44";"0";"0.58";"33";"OC[C@H](NC[C@H]1NC[C@H](O)[C@@H]1O)c1ccc(OCc2ccccc2)cc1";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL1104861";"Cytotoxicity against human BT474 cells after 72 hrs by colorimetric assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BT-474";"None";"";"";"";"CHEMBL614529";"BT-474";"Homo sapiens";"CELL-LINE";"CHEMBL1157882";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"CHEMBL3307636";"";"";""
"CHEMBL498051";"";"None";"456.37";"0";"3.75";"41";"NC[C@H](Cc1ccncc1)NC(=O)c1cc(Br)c(-c2ccnc3[nH]ccc23)s1";"IC50";"'='";"2300.0";"nM";"5.64";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL959247";"Cytotoxicity against human BT474 cells";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BT-474";"None";"";"";"";"CHEMBL614529";"BT-474";"Homo sapiens";"CELL-LINE";"CHEMBL1153968";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"CHEMBL3307636";"";"";""
"CHEMBL3337631";"";"None";"267.80";"0";"2.61";"6";"Cc1cc(C)c2c(c1)C(=O)C(CN(C)C)CC2.Cl";"Activity";"";"";"";"";"";"Active";"";"";"";"";"";"0";"CHEMBL3384255";"Cytotoxicity against human BT474 cells at 1.6 to 100 ug/ml after 72 hrs by crystal violet assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BT-474";"None";"";"";"";"CHEMBL614529";"BT-474";"Homo sapiens";"CELL-LINE";"CHEMBL3351493";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"CHEMBL3307636";"";"";""
"CHEMBL206782";"";"None";"573.02";"2";"6.27";"8k";"COC(=O)CCCC(=O)Nc1cccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1";"IC50";"'='";"4240.0";"nM";"5.37";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL861553";"Antiproliferative activity against human BT474 cell line";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BT-474";"None";"";"";"";"CHEMBL614529";"BT-474";"Homo sapiens";"CELL-LINE";"CHEMBL1147004";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"CHEMBL3307636";"";"";""
"CHEMBL2158569";"";"None";"431.91";"0";"3.48";"36d";"COc1cc(Cl)c(-c2nc(SCC(=O)NC(C)C)nc3[nH]cc(C#N)c23)cc1O";"GI50";"'='";"161.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2162324";"Antiproliferative activity against human BT474 cells after 4 days by SRB method";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BT-474";"None";"";"";"";"CHEMBL614529";"BT-474";"Homo sapiens";"CELL-LINE";"CHEMBL2157917";"1";"Scientific Literature";"Bioorg Med Chem";"2012";"CHEMBL3307636";"";"";""
"CHEMBL2158627";"";"None";"461.95";"0";"4.30";"28";"COc1cc(Cl)c(-c2nc(SC)nc3[nH]cc(C#N)c23)cc1OCCN1CC[C@H](F)C1";"GI50";"'='";"31.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2162324";"Antiproliferative activity against human BT474 cells after 4 days by SRB method";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BT-474";"None";"";"";"";"CHEMBL614529";"BT-474";"Homo sapiens";"CELL-LINE";"CHEMBL2157917";"1";"Scientific Literature";"Bioorg Med Chem";"2012";"CHEMBL3307636";"";"";""
"CHEMBL2148052";"";"None";"562.48";"2";"5.21";"2c";"CC(C)(C(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(Cl)c4)c(Cl)c3)c21)S(C)(=O)=O";"GI50";"'='";"56.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2150610";"Growth inhibition of HER2 over-expressing human BT474 cells after 5 days";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BT-474";"None";"";"";"";"CHEMBL614529";"BT-474";"Homo sapiens";"CELL-LINE";"CHEMBL2146394";"1";"Scientific Literature";"Bioorg Med Chem";"2012";"CHEMBL3307636";"";"";""
"CHEMBL1807665";"";"None";"430.41";"0";"1.71";"2, diastereomeric mixture";"COc1cc(OCC2CO2)c2c(c1)O[C@@H]1COc3cc(OC)c(OC)cc3[C@]1(O)C2=O";"IC50";"'='";"450.0";"nM";"6.35";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1810416";"Cytotoxicity against human BT474 cells after 3 days by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BT-474";"None";"";"";"";"CHEMBL614529";"BT-474";"Homo sapiens";"CELL-LINE";"CHEMBL1806460";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"CHEMBL3307636";"";"";""
"CHEMBL3900118";"";"None";"352.46";"0";"2.93";"384";"O=C(/C=C/c1ccccc1)NC(NC(=S)Nc1ccccn1)C1CC1";"GI";"'='";"78.8";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3854282";"Potentiation of lapatinib-induced growth inhibition of human BT474 cells at 10 uM after 72 hrs by cell titer-glo based luminescence assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BT-474";"None";"";"";"";"CHEMBL614529";"BT-474";"Homo sapiens";"CELL-LINE";"CHEMBL3853294";"1";"Scientific Literature";"Eur J Med Chem";"2016";"CHEMBL3307636";"";"";""
