"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL1643027";"";"None";"243.31";"0";"1.73";"20a";"Cc1c(CO)c(CO)c2n1Cc1ccccc1C2";"Inhibition";"'='";"21.6";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1646857";"Inhibition of cell cycle arrest in human H1299 cells assessed as accumulation at subG1 phase at 1.25 uM after 24 hrs by propidium iodide staining-based flow cytometry";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H1299";"None";"";"";"";"CHEMBL612255";"NCI-H1299";"Homo sapiens";"CELL-LINE";"CHEMBL1641600";"1";"Scientific Literature";"Bioorg Med Chem";"2011";"CHEMBL3308501";"";"";""
"CHEMBL375097";"";"None";"359.77";"0";"3.20";"46d";"N#Cc1ncc2nc1OCCCCOc1ccc(Cl)cc1NC(=O)N2";"EC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL899930";"Cell cycle arrest in human NCI-H1299 cells assessed as accumulation at G2/M phase by FACS";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H1299";"None";"";"";"";"CHEMBL612255";"NCI-H1299";"Homo sapiens";"CELL-LINE";"CHEMBL1137623";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"CHEMBL3308501";"";"";""
"CHEMBL394198";"";"None";"399.41";"0";"2.30";"67c";"N#Cc1ncc2nc1OCCCCCOc1ccc(OCCO)cc1NC(=O)N2";"EC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL899930";"Cell cycle arrest in human NCI-H1299 cells assessed as accumulation at G2/M phase by FACS";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H1299";"None";"";"";"";"CHEMBL612255";"NCI-H1299";"Homo sapiens";"CELL-LINE";"CHEMBL1137623";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"CHEMBL3308501";"";"";""
"CHEMBL235368";"";"None";"482.54";"0";"3.03";"49c";"N#Cc1ncc2nc1OCCCCCOc1ccc(OCCCN3CCOCC3)cc1NC(=O)N2";"EC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL899930";"Cell cycle arrest in human NCI-H1299 cells assessed as accumulation at G2/M phase by FACS";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H1299";"None";"";"";"";"CHEMBL612255";"NCI-H1299";"Homo sapiens";"CELL-LINE";"CHEMBL1137623";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"CHEMBL3308501";"";"";""
"CHEMBL1213953";"";"None";"338.43";"0";"3.41";"mon97-E2";"CC1=C(C(=O)c2ccccc2)C(c2cccc(O)c2)NC(=S)N1C";"EC50";"'='";"4608.0";"nM";"5.34";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1217126";"Antiproliferative activity against human NCI-H1299 cells after 72 hrs by Alamar blue assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H1299";"None";"";"";"";"CHEMBL612255";"NCI-H1299";"Homo sapiens";"CELL-LINE";"CHEMBL1212821";"1";"Scientific Literature";"J Med Chem";"2010";"CHEMBL3308501";"";"";""
"CHEMBL324540";"";"None";"428.50";"0";"4.34";"2l";"O=C1c2cccc(Sc3ncccn3)c2C(=O)c2cccc(Sc3ncccn3)c21";"Relative viability";"'='";"104.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL655188";"hTERT-SEAP (Human telomerase reverse transcriptase-SEAP) activity in non-small cell lung cancer H1299 cell at 2.3 uM concentration and level of cell viability determined in MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H1299";"None";"";"";"";"CHEMBL612255";"NCI-H1299";"Homo sapiens";"CELL-LINE";"CHEMBL1144896";"1";"Scientific Literature";"J Med Chem";"2003";"CHEMBL3308501";"";"";""
"CHEMBL190172";"";"None";"276.75";"0";"4.43";"4e";"Cc1ccc(-c2noc(-c3sccc3Cl)n2)cc1";"GI50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL824953";"Growth inhibitory activity against H1299 cells done for 48 h at 37 degree C with compound";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H1299";"None";"";"";"";"CHEMBL612255";"NCI-H1299";"Homo sapiens";"CELL-LINE";"CHEMBL1141144";"1";"Scientific Literature";"J Med Chem";"2005";"CHEMBL3308501";"";"";""
"CHEMBL190896";"";"None";"281.10";"0";"4.30";"10b";"Clc1ccc(-c2noc(-c3occc3Cl)n2)cc1";"GI50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL824953";"Growth inhibitory activity against H1299 cells done for 48 h at 37 degree C with compound";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H1299";"None";"";"";"";"CHEMBL612255";"NCI-H1299";"Homo sapiens";"CELL-LINE";"CHEMBL1141144";"1";"Scientific Literature";"J Med Chem";"2005";"CHEMBL3308501";"";"";""
"CHEMBL1956258";"";"None";"307.44";"1";"5.14";"15";"CC(C)c1cc(C(C)(C)C)cc(-c2cccc(C#N)c2)c1CO";"Activity";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL1959961";"Cytotoxicity against human NCI-H1299 cells expressing VIPR1 up to 10 uM in presence of 2% serum";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H1299";"None";"";"";"";"CHEMBL612255";"NCI-H1299";"Homo sapiens";"CELL-LINE";"CHEMBL1955783";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"CHEMBL3308501";"";"";""
"CHEMBL1956421";"";"None";"316.87";"1";"5.92";"23";"CC(C)c1cc(C(C)(C)C)cc(-c2ccc(Cl)cc2)c1CO";"Activity";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL1959961";"Cytotoxicity against human NCI-H1299 cells expressing VIPR1 up to 10 uM in presence of 2% serum";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H1299";"None";"";"";"";"CHEMBL612255";"NCI-H1299";"Homo sapiens";"CELL-LINE";"CHEMBL1955783";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"CHEMBL3308501";"";"";""
