"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL1254372";"";"None";"558.63";"1";"4.37";"14";"COc1cc2c(c(OC)c1O)-c1ccc(SC)c(=O)cc1[C@@H](N(C)S(=O)(=O)c1ccccc1[N+](=O)[O-])CC2";"ED50";"'='";"1.012";"ug ml-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1252356";"Cytotoxicity against human SKBR3 cells after 2 days";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SK-BR-3";"None";"";"";"";"CHEMBL613834";"SK-BR-3";"Homo sapiens";"CELL-LINE";"CHEMBL1250441";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3308062";"";"";""
"CHEMBL201118";"";"None";"533.60";"2";"3.34";"12";"CN(C)Cc1cnc2c(c1O)c(-c1ccnc(N)n1)c1cc(-c3ccnc(N)n3)nc(NCc3ccccc3)n12";"GI50";"'='";"2790.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL866463";"Inhibition of growth against SKBR3 cells after 72 hrs exposure";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SK-BR-3";"None";"";"";"";"CHEMBL613834";"SK-BR-3";"Homo sapiens";"CELL-LINE";"CHEMBL1149450";"1";"Scientific Literature";"J Med Chem";"2006";"CHEMBL3308062";"";"";""
"CHEMBL346525";"";"None";"297.31";"0";"1.53";"19c";"O=C(/C=C/c1ccc(CNC(=O)c2cccnc2)cc1)NO";"IC50";"'='";"1280.0";"nM";"5.89";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL946969";"Antiproliferative activity against human SKBR3 cells";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SK-BR-3";"None";"";"";"";"CHEMBL613834";"SK-BR-3";"Homo sapiens";"CELL-LINE";"CHEMBL1142268";"1";"Scientific Literature";"J Med Chem";"2008";"CHEMBL3308062";"";"";""
"CHEMBL1773201";"";"None";"466.44";"0";"2.66";"28";"COc1cc(C2Oc3cc(C4Oc5ccc(O)cc5C(=O)C4O)ccc3OC2CO)ccc1O";"Activity";"'='";"13.41";"uM";"";"";"";"UO_0000064";"";"";"";"";"0";"CHEMBL1775645";"Antiproliferative activity against estrogen receptor-deficient human SKBR3 cells expressing HER2";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SK-BR-3";"None";"";"";"";"CHEMBL613834";"SK-BR-3";"Homo sapiens";"CELL-LINE";"CHEMBL1772946";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"CHEMBL3308062";"";"";""
"CHEMBL1773208";"";"None";"450.44";"0";"3.69";"35";"COc1cc(C2Oc3cc(C4CC(=O)c5ccc(O)cc5O4)ccc3OC2CO)ccc1O";"Activity";"'='";"41.91";"uM";"";"";"";"UO_0000064";"";"";"";"";"0";"CHEMBL1775645";"Antiproliferative activity against estrogen receptor-deficient human SKBR3 cells expressing HER2";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SK-BR-3";"None";"";"";"";"CHEMBL613834";"SK-BR-3";"Homo sapiens";"CELL-LINE";"CHEMBL1772946";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"CHEMBL3308062";"";"";""
"CHEMBL1774413";"";"None";"554.68";"1";"4.72";"32";"C/C=C(/C)C(=O)O[C@H]1C[C@@H](O)[C@@]2(C)CO[C@H]3[C@H]4O[C@@H]5C[C@@H](c6ccoc6)C(C)=C5[C@@]4(C)[C@H](CC(=O)OC)[C@]1(C)[C@@H]32";"IC50";"'>'";"20000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1776133";"Cytotoxicity against human SK-BR-3 cells assessed as cell viability after 48 hrs by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SK-BR-3";"None";"";"";"";"CHEMBL613834";"SK-BR-3";"Homo sapiens";"CELL-LINE";"CHEMBL1773010";"1";"Scientific Literature";"J Nat Prod";"2011";"CHEMBL3308062";"";"";""
"CHEMBL27759";"ENTINOSTAT";"3.0";"376.42";"0";"3.34";"1g, MS-275";"Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1";"IC50";"'='";"870.0";"nM";"6.06";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL946969";"Antiproliferative activity against human SKBR3 cells";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SK-BR-3";"None";"";"";"";"CHEMBL613834";"SK-BR-3";"Homo sapiens";"CELL-LINE";"CHEMBL1142268";"1";"Scientific Literature";"J Med Chem";"2008";"CHEMBL3308062";"";"";""
"CHEMBL435005";"";"None";"693.79";"2";"3.32";"2d";"COc1ccccc1C(=O)CN1C(=O)/C(C)=C/C=C\[C@H](OC)[C@@H](OC(N)=O)/C(C)=C/[C@H](C)[C@@H](O)[C@@H](OC)C[C@H](C)CC2=C(N)C(=O)C=C1C2=O";"IC50";"'='";"600.0";"nM";"6.22";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL806578";"In vitro inhibition of p185 erbB-2 oncoprotein in human breast cancer SK-BR-3 cells";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SK-BR-3";"None";"";"";"";"CHEMBL613834";"SK-BR-3";"Homo sapiens";"CELL-LINE";"CHEMBL1128590";"1";"Scientific Literature";"J Med Chem";"1995";"CHEMBL3308062";"";"";""
"CHEMBL1224159";"";"None";"521.76";"2";"6.76";"(S)-28";"CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H]1COCS(=O)(=O)N1Cc1ccccc1";"Activity";"'='";"71.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1225443";"Cytotoxicity against human SKBR3 cells assessed as cell viability at 6.25 uM after 72 hrs by MTS assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SK-BR-3";"None";"";"";"";"CHEMBL613834";"SK-BR-3";"Homo sapiens";"CELL-LINE";"CHEMBL1221316";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3308062";"";"";""
"CHEMBL1224233";"";"None";"377.46";"0";"2.40";"(R)-30";"COc1cccc(COC[C@@H]2COCS(=O)(=O)N2Cc2ccccc2)c1";"Activity";"'='";"100.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1225443";"Cytotoxicity against human SKBR3 cells assessed as cell viability at 6.25 uM after 72 hrs by MTS assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SK-BR-3";"None";"";"";"";"CHEMBL613834";"SK-BR-3";"Homo sapiens";"CELL-LINE";"CHEMBL1221316";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3308062";"";"";""
