"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL1765689";"";"None";"594.70";"2";"6.33";"3e";"COc1cc2c(cc1OCCCOc1ccc3c(c1)CC[C@@H]1[C@@H]3CC[C@]3(C)[C@@H](O)CC[C@@H]13)N=C[C@@H]1CC(F)(F)CN1C2=O";"GI50";"'='";"180.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1768548";"Cytotoxicity against human ZR-75-1 cells by sulforhodamine B method";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"ZR-75-1";"None";"";"";"";"CHEMBL614393";"ZR-75-1";"Homo sapiens";"CELL-LINE";"CHEMBL1765029";"1";"Scientific Literature";"Bioorg Med Chem";"2011";"CHEMBL3307615";"";"";""
"CHEMBL1172657";"";"None";"317.34";"0";"4.70";"18";"COc1ccc(Nc2cc(=O)oc3c2ccc2ccccc23)cc1";"ED50";"'='";"0.01";"uM";"";"";"";"UO_0000064";"";"";"";"";"0";"CHEMBL1175749";"Cytotoxicity against human ZR-75-1 cells after 72 hrs by SRB assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"ZR-75-1";"None";"";"";"";"CHEMBL614393";"ZR-75-1";"Homo sapiens";"CELL-LINE";"CHEMBL1177814";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307615";"";"";""
"CHEMBL364132";"";"None";"264.28";"0";"4.31";"1";"Cc1cccc2c1ccc1c3occ(C)c3c(=O)oc21";"ED50";"'='";"0.95";"uM";"";"";"";"UO_0000064";"";"";"";"";"0";"CHEMBL1175749";"Cytotoxicity against human ZR-75-1 cells after 72 hrs by SRB assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"ZR-75-1";"None";"";"";"";"CHEMBL614393";"ZR-75-1";"Homo sapiens";"CELL-LINE";"CHEMBL1177814";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307615";"";"";""
"CHEMBL454854";"GUMMIFEROL";"None";"286.28";"0";"-0.36";"1, Gummiferol";"CC(=O)OC/C=C/C1OC1C1OC1C#CC#CC#CCO";"ED50";"'='";"0.2";"ug ml-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1001275";"Cytotoxicity against human ZR-75-1 cells";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"ZR-75-1";"None";"";"";"";"CHEMBL614393";"ZR-75-1";"Homo sapiens";"CELL-LINE";"CHEMBL1150085";"1";"Scientific Literature";"J Nat Prod";"1995";"CHEMBL3307615";"";"";""
"CHEMBL1643929";"";"None";"310.39";"0";"4.86";"15";"CCOc1c(-c2occ(C)c2CO)ccc2c(CC)cccc12";"ED50";"'='";"1.4";"ug ml-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1648219";"Cytotoxicity against human ZR-75-1 cells after 72 hrs by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"ZR-75-1";"None";"";"";"";"CHEMBL614393";"ZR-75-1";"Homo sapiens";"CELL-LINE";"CHEMBL1641375";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"CHEMBL3307615";"";"";""
"CHEMBL1224845";"";"None";"586.62";"2";"6.12";"4b";"COc1ccc(-c2nnc(-c3ccc(F)cc3)o2)cc1OCCCCOc1cc2c(cc1OC)C(=O)N1CCC[C@H]1C=N2";"GI50";"'='";"170.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1228564";"Cytotoxicity against human ZR-75-1 cells after 24 hrs by WST-1 assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"ZR-75-1";"None";"";"";"";"CHEMBL614393";"ZR-75-1";"Homo sapiens";"CELL-LINE";"CHEMBL1221395";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"CHEMBL3307615";"";"";""
"CHEMBL611377";"";"None";"294.31";"0";"4.40";"22";"CCOc1cccc2c1ccc1c3occ(C)c3c(=O)oc21";"ED50";"'='";"1.9";"ug ml-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1068846";"Growth inhibition of human ZR-75-1 cells after 72 hrs by SRB assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"ZR-75-1";"None";"";"";"";"CHEMBL614393";"ZR-75-1";"Homo sapiens";"CELL-LINE";"CHEMBL1157575";"1";"Scientific Literature";"J Med Chem";"2010";"CHEMBL3307615";"";"";""
"CHEMBL515639";"";"None";"325.36";"0";"2.88";"9";"COc1cc2c(cc1O)-c1c3c(cc4c1[C@@H](C2)N(C)CC4)OCO3";"ED50";"'='";"2.1";"ug ml-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL953741";"Cytotoxicity against human ZR-75-1 cells after 3 days by SRB assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"ZR-75-1";"None";"";"";"";"CHEMBL614393";"ZR-75-1";"Homo sapiens";"CELL-LINE";"CHEMBL1147366";"1";"Scientific Literature";"J Nat Prod";"1993";"CHEMBL3307615";"";"";""
"CHEMBL359744";"DOXORUBICIN HYDROCHLORIDE";"4.0";"579.99";"3";"0.00";"ADR";"COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1.Cl";"GI50";"'='";"1790.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1118115";"Cytotoxicity against human ZR-75-1 cells after 48 hrs by SRB assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"ZR-75-1";"None";"";"";"";"CHEMBL614393";"ZR-75-1";"Homo sapiens";"CELL-LINE";"CHEMBL1155482";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307615";"";"";""
"CHEMBL471067";"";"None";"400.43";"0";"3.02";"5";"COc1cc(C[C@H]2C(=O)OC[C@@H]2Cc2ccc3c(c2)OCO3)cc(OC)c1OC";"ED50";"'='";"0.5";"ug ml-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1000982";"Cytotoxicity against human ZR-75-1 cells";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"ZR-75-1";"None";"";"";"";"CHEMBL614393";"ZR-75-1";"Homo sapiens";"CELL-LINE";"CHEMBL1147382";"1";"Scientific Literature";"J Nat Prod";"1993";"CHEMBL3307615";"";"";""
