"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL2372269";"epilyngbyastatin 1";"None";"999.26";"2";"2.10";"1ab";"CC[C@H](C)[C@@H]1OC(=O)[C@@H](C)[C@@H](CC)NC(=O)[C@H](C)N(C)C(=O)C(C)(C)C(=O)[C@H](C)NC(=O)[C@H](Cc2ccc(OC)cc2)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)CNC(=O)[C@H](CC(C)C)N(C)C(=O)CNC1=O";"MIC";"'='";"0.5";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1003461";"Cytotoxicity against human LoVo cells";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"LoVo";"None";"";"";"";"CHEMBL614721";"LoVo";"Homo sapiens";"CELL-LINE";"CHEMBL1150960";"1";"Scientific Literature";"J Nat Prod";"1998";"CHEMBL3307691";"";"";""
"CHEMBL203879";"";"None";"556.75";"2";"0.85";"XV";"COC(=O)[C@H](CCSC)NC(=O)[C@@H](Cc1ccc(O)c(C)c1C)NC(=O)[C@@H](NC(=O)[C@@H](N)CS)C(C)C";"Activity";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL862158";"Antiproliferative activity against LoVo cell line";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"LoVo";"None";"";"";"";"CHEMBL614721";"LoVo";"Homo sapiens";"CELL-LINE";"CHEMBL1138191";"1";"Scientific Literature";"J Med Chem";"2006";"CHEMBL3307691";"";"";""
"CHEMBL373173";"";"None";"511.59";"1";"2.83";"15";"COc1ccnc2c1c(-c1ccnc(N)n1)c1cc(C(=O)NCCN(C)C)nc(NCc3ccccc3)n12";"GI50";"'='";"3460.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL865262";"Inhibition of growth against LoVo-Dox cells after 72 hrs exposure";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"LoVo";"None";"";"";"";"CHEMBL614721";"LoVo";"Homo sapiens";"CELL-LINE";"CHEMBL1149450";"1";"Scientific Literature";"J Med Chem";"2006";"CHEMBL3307691";"";"";""
"CHEMBL599486";"BROMOSPHAERODIOL";"None";"464.28";"0";"4.91";"9";"CC(C)[C@@H]1C=C[C@H](O)[C@H]2[C@H]3[C@](C)(CC[C@@]21CBr)[C@@H](Br)CC[C@@]3(C)O";"IC50";"'='";"20000.0";"nM";"4.70";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1071614";"Growth inhibition of human apoptosis-sensitive LoVo cells after 72 hrs by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"LoVo";"None";"";"";"";"CHEMBL614721";"LoVo";"Homo sapiens";"CELL-LINE";"CHEMBL1159099";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"CHEMBL3307691";"";"";""
"CHEMBL599690";"";"None";"385.39";"0";"4.51";"12";"CC(C)[C@]1(O)C[C@H]2C[C@H]3[C@H]4[C@](C)(CC[C@@]31C2)[C@@H](Br)CC[C@@]4(C)O";"IC50";"'='";"56000.0";"nM";"4.25";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1071614";"Growth inhibition of human apoptosis-sensitive LoVo cells after 72 hrs by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"LoVo";"None";"";"";"";"CHEMBL614721";"LoVo";"Homo sapiens";"CELL-LINE";"CHEMBL1159099";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"CHEMBL3307691";"";"";""
"CHEMBL604941";"";"None";"464.28";"0";"4.91";"6";"CC(C)[C@@H]1CC=C[C@H]2[C@@H]3[C@](C)(O)[C@@H](O)C[C@H](Br)[C@@]3(C)CC[C@]12CBr";"IC50";"'='";"9000.0";"nM";"5.05";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1071614";"Growth inhibition of human apoptosis-sensitive LoVo cells after 72 hrs by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"LoVo";"None";"";"";"";"CHEMBL614721";"LoVo";"Homo sapiens";"CELL-LINE";"CHEMBL1159099";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"CHEMBL3307691";"";"";""
"CHEMBL1165153";"";"None";"508.58";"2";"3.68";"22b";"COc1ccc(-c2nnn(CCCCCCCn3nnnc3-c3ccc(OC)c(OC)c3)n2)cc1OC";"IC50";"'='";"41000.0";"nM";"4.39";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1169031";"Anticancer activity against human LoVo cells after 24 hrs by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"LoVo";"None";"";"";"";"CHEMBL614721";"LoVo";"Homo sapiens";"CELL-LINE";"CHEMBL1165937";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"CHEMBL3307691";"";"";""
"CHEMBL1164468";"";"None";"422.39";"1";"2.49";"6e";"O=C(OCCCCCCOC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1";"IC50";"'='";"48000.0";"nM";"4.32";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1169031";"Anticancer activity against human LoVo cells after 24 hrs by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"LoVo";"None";"";"";"";"CHEMBL614721";"LoVo";"Homo sapiens";"CELL-LINE";"CHEMBL1165937";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"CHEMBL3307691";"";"";""
"CHEMBL1164872";"";"None";"446.50";"0";"4.47";"8b";"COc1cc(C(=O)OCCCCCCCCOC(=O)c2ccc(O)c(OC)c2)ccc1O";"IC50";"'='";"94000.0";"nM";"4.03";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1169031";"Anticancer activity against human LoVo cells after 24 hrs by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"LoVo";"None";"";"";"";"CHEMBL614721";"LoVo";"Homo sapiens";"CELL-LINE";"CHEMBL1165937";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"CHEMBL3307691";"";"";""
"CHEMBL1163757";"";"None";"376.36";"0";"2.52";"3b";"COc1cc(C(=O)OCCCOC(=O)c2ccc(O)c(OC)c2)ccc1O";"IC50";"'='";"50000.0";"nM";"4.30";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1169031";"Anticancer activity against human LoVo cells after 24 hrs by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"LoVo";"None";"";"";"";"CHEMBL614721";"LoVo";"Homo sapiens";"CELL-LINE";"CHEMBL1165937";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"CHEMBL3307691";"";"";""
"CHEMBL459359";"";"None";"424.46";"0";"4.32";"30";"CC(C)NC(=O)Oc1cc(-c2ccnc3c(C(=O)c4cccs4)cnn23)ccc1F";"IC50";"'='";"12.0";"nM";"7.92";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1030662";"Antiproliferative activity against human LoVo cells";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"LoVo";"None";"";"";"";"CHEMBL614721";"LoVo";"Homo sapiens";"CELL-LINE";"CHEMBL1152747";"1";"Scientific Literature";"Bioorg Med Chem";"2009";"CHEMBL3307691";"";"";""
"CHEMBL459565";"";"None";"410.52";"0";"4.73";"35a";"CC(C)CC(=O)Nc1ccc(-c2ccnc3c(C(=O)c4cccs4)cnn23)s1";"IC50";"'='";"680.0";"nM";"6.17";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1030662";"Antiproliferative activity against human LoVo cells";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"LoVo";"None";"";"";"";"CHEMBL614721";"LoVo";"Homo sapiens";"CELL-LINE";"CHEMBL1152747";"1";"Scientific Literature";"Bioorg Med Chem";"2009";"CHEMBL3307691";"";"";""
