"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL9941";"";"None";"344.36";"0";"3.32";"1a";"COc1ccc(/C=C/C(=O)c2cc(OC)c(OC)c(OC)c2)cc1O";"IC50";"'='";"17.1";"nM";"7.77";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1016366";"Cytotoxicity against human NCI-H358 cells after 96 hrs by SRB assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H358";"None";"";"";"";"CHEMBL614135";"NCI-H358";"Homo sapiens";"CELL-LINE";"CHEMBL1139368";"1";"Scientific Literature";"J Med Chem";"2009";"CHEMBL3307543";"";"";""
"CHEMBL410659";"";"None";"460.59";"1";"5.39";"2f, AQIP";"Nc1nccn2c1c(-c1ccc3ccc(-c4ccccc4)nc3c1)nc2[C@H]1C[C@@H](CN2CCC2)C1";"IC50";"'='";"2980.0";"nM";"5.53";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL939044";"Inhibition of proliferation of human H358 cells";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H358";"None";"";"";"";"CHEMBL614135";"NCI-H358";"Homo sapiens";"CELL-LINE";"CHEMBL1143953";"1";"Scientific Literature";"Bioorg Med Chem";"2008";"CHEMBL3307543";"";"";""
"CHEMBL41863";"";"None";"302.76";"1";"5.77";"17c";"Clc1ccc2c(c1)-c1cccc3nc4ccccc4c(c13)N2";"IC50";"'='";"6030.0";"nM";"5.22";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL750701";"Inhibitory activity against NCI-H358 cell line using MTT assay(mutant p53)";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H358";"None";"";"";"";"CHEMBL614135";"NCI-H358";"Homo sapiens";"CELL-LINE";"CHEMBL1133721";"1";"Scientific Literature";"J Med Chem";"2000";"CHEMBL3307543";"";"";""
"CHEMBL53463";"DOXORUBICIN";"4.0";"543.53";"3";"0.00";"Doxorubicin";"COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1";"IC50";"'='";"130.0";"nM";"6.89";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL750701";"Inhibitory activity against NCI-H358 cell line using MTT assay(mutant p53)";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H358";"None";"";"";"";"CHEMBL614135";"NCI-H358";"Homo sapiens";"CELL-LINE";"CHEMBL1133721";"1";"Scientific Literature";"J Med Chem";"2000";"CHEMBL3307543";"";"";""
"CHEMBL123";"ELLIPTECINE";"None";"246.31";"0";"4.49";"1 (ellipticin)";"Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12";"IC50";"'='";"200.0";"nM";"6.70";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL686760";"Compound was evaluated for inhibitory activity against H 358 human lung cancer cell line";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H358";"None";"";"";"";"CHEMBL614135";"NCI-H358";"Homo sapiens";"CELL-LINE";"CHEMBL1125566";"1";"Scientific Literature";"J Med Chem";"1992";"CHEMBL3307543";"";"";""
"CHEMBL598797";"CUDC-101";"1.0";"434.50";"0";"4.20";"8, CDUC-101";"C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1";"Activity";"'='";"6.5";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1065603";"Antitumor activity against human NCI-H358 cells xenografted in nude CD1 mouse at 60 mg/kg, iv dosed daily on 7-6-5 (on-off-on) schedule relative to control";"F";"BAO_0000218";"organism-based format";"Homo sapiens";"None";"None";"NCI-H358";"None";"DOSE = 60.0 mg.kg-1 | ROUTE: Intravenous";"";"";"CHEMBL614135";"NCI-H358";"Homo sapiens";"CELL-LINE";"CHEMBL1157563";"1";"Scientific Literature";"J Med Chem";"2010";"CHEMBL3307543";"";"";""
"CHEMBL941";"IMATINIB";"4.0";"493.62";"0";"4.59";"11, imatinib";"Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1";"Activity";"'='";"1.177";"";"";"";"";"";"";"";"";"";"0";"CHEMBL971321";"Cytotoxicity against human NCI-H358 cells assessed as fraction of viable cells after 72 hrs relative to control";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H358";"None";"";"";"";"CHEMBL614135";"NCI-H358";"Homo sapiens";"CELL-LINE";"CHEMBL1149823";"1";"Scientific Literature";"Proc Natl Acad Sci U S A";"2007";"CHEMBL3307543";"";"";""
"CHEMBL53463";"DOXORUBICIN";"4.0";"543.53";"3";"0.00";"DOX";"COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1";"IC50";"'='";"900.0";"nM";"6.05";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4407620";"Cytotoxicity against human NCI-H358 cells assessed as reduction in cell viability after 72 hrs by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H358";"None";"";"";"";"CHEMBL614135";"NCI-H358";"Homo sapiens";"CELL-LINE";"CHEMBL4406812";"1";"Scientific Literature";"Eur J Med Chem";"2019";"CHEMBL3307543";"";"";""
"CHEMBL98";"VORINOSTAT";"4.0";"264.32";"0";"2.47";"SAHA";"O=C(CCCCCCC(=O)Nc1ccccc1)NO";"IC50";"'='";"2500.0";"nM";"5.60";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1064924";"Antiproliferative activity against human NCI-H358 cells after hrs by ATP content assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H358";"None";"";"";"";"CHEMBL614135";"NCI-H358";"Homo sapiens";"CELL-LINE";"CHEMBL1157563";"1";"Scientific Literature";"J Med Chem";"2010";"CHEMBL3307543";"";"";""
"CHEMBL4172122";"";"None";"378.52";"0";"4.14";"C2";"C=CCc1ccc(O)c(-c2cc(CC=C)cc(CN3CCC(N)CC3)c2O)c1";"IC50";"'='";"7430.0";"nM";"5.13";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4156406";"Antiproliferative activity against human NCI-H358 cells after 72 hrs by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H358";"None";"";"";"";"CHEMBL614135";"NCI-H358";"Homo sapiens";"CELL-LINE";"CHEMBL4152332";"1";"Scientific Literature";"Eur J Med Chem";"2018";"CHEMBL3307543";"";"";""
"CHEMBL1479316";"";"None";"174.16";"0";"2.34";"SID26755523";"O=Nc1ccc(O)c2ncccc12";"Potency";"'='";"3000.0";"nM";"5.52";"";"Active";"UO_0000065";"";"";"";"";"0";"CHEMBL1614200";"PUBCHEM_BIOASSAY: H358 Cell Viability Secondary Assay for qHTS Assay for Epigenetic Modulators. (Class of assay: confirmatory) [Related pubchem assays: 890, 990, 597 ]";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H358";"None";"";"";"";"CHEMBL614135";"NCI-H358";"Homo sapiens";"CELL-LINE";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"CHEMBL3307543";"";"";""
"CHEMBL99";"TRICHOSTATIN";"1.0";"302.37";"0";"2.58";"SID46371223";"CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1";"Potency";"'='";"40.0";"nM";"7.40";"";"Active";"UO_0000065";"";"";"";"";"0";"CHEMBL1614200";"PUBCHEM_BIOASSAY: H358 Cell Viability Secondary Assay for qHTS Assay for Epigenetic Modulators. (Class of assay: confirmatory) [Related pubchem assays: 890, 990, 597 ]";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H358";"None";"";"";"";"CHEMBL614135";"NCI-H358";"Homo sapiens";"CELL-LINE";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"CHEMBL3307543";"";"";""
"CHEMBL4166664";"";"None";"421.46";"0";"4.16";"18";"C=CC(=O)Nc1cc(-n2c(=O)ccc3cnc4ccc(-n5cccn5)cc4c32)ccc1C";"GI50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4130940";"Antiproliferative activity against human NCI-H358 cells after 72 hrs by CellTiter-Glo assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H358";"None";"";"";"";"CHEMBL614135";"NCI-H358";"Homo sapiens";"CELL-LINE";"CHEMBL4130348";"1";"Scientific Literature";"Eur J Med Chem";"2017";"CHEMBL3307543";"";"";""
"CHEMBL3884960";"";"None";"464.96";"0";"4.54";"2";"C=CC(=O)Nc1ccccc1Oc1nc(Nc2ccc(N3CCN(C)CC3)cc2)ncc1Cl";"Activity";"";"";"";"";"";"Active";"";"";"";"";"";"0";"CHEMBL4118542";"Antiproliferative activity against human NCI-H358 cells harboring KRAS G12C mutant after 72 hrs by CellTiter-Glo assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H358";"None";"";"";"";"CHEMBL614135";"NCI-H358";"Homo sapiens";"CELL-LINE";"CHEMBL4118021";"1";"Scientific Literature";"Bioorg Med Chem";"2017";"CHEMBL3307543";"";"";""
"CHEMBL3883384";"";"None";"463.97";"0";"4.49";"5";"C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(C)CC3)cc2)ncc1Cl";"Activity";"";"";"";"";"";"Active";"";"";"";"";"";"0";"CHEMBL4118542";"Antiproliferative activity against human NCI-H358 cells harboring KRAS G12C mutant after 72 hrs by CellTiter-Glo assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H358";"None";"";"";"";"CHEMBL614135";"NCI-H358";"Homo sapiens";"CELL-LINE";"CHEMBL4118021";"1";"Scientific Literature";"Bioorg Med Chem";"2017";"CHEMBL3307543";"";"";""
"CHEMBL4569035";"";"None";"323.70";"1";"5.05";"TD77";"FC(F)(F)c1cccc(Nc2nc3ccccc3nc2Cl)c1";"Activity";"'='";"105.2";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4420567";"Cytotoxicity against human NCI-H358 cells assessed as cell viability at 1 uM incubated for 48 hrs by MTT assay relative to control";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H358";"None";"";"";"";"CHEMBL614135";"NCI-H358";"Homo sapiens";"CELL-LINE";"CHEMBL4420066";"38";"Patent Bioactivity Data";"";"2017";"CHEMBL3307543";"";"";""
"CHEMBL4470720";"";"None";"358.15";"1";"5.70";"TD79";"FC(F)(F)c1cc(Nc2nc3ccccc3nc2Cl)ccc1Cl";"Activity";"'='";"87.7";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4420568";"Cytotoxicity against human NCI-H358 cells assessed as cell viability at 10 uM incubated for 48 hrs by MTT assay relative to control";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H358";"None";"";"";"";"CHEMBL614135";"NCI-H358";"Homo sapiens";"CELL-LINE";"CHEMBL4420066";"38";"Patent Bioactivity Data";"";"2017";"CHEMBL3307543";"";"";""
"CHEMBL4463097";"";"None";"312.38";"1";"5.12";"TD55";"c1ccc(Nc2nc3ccccc3nc2Nc2ccccc2)cc1";"Activity";"'='";"109.5";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4420567";"Cytotoxicity against human NCI-H358 cells assessed as cell viability at 1 uM incubated for 48 hrs by MTT assay relative to control";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H358";"None";"";"";"";"CHEMBL614135";"NCI-H358";"Homo sapiens";"CELL-LINE";"CHEMBL4420066";"38";"Patent Bioactivity Data";"";"2017";"CHEMBL3307543";"";"";""
"CHEMBL4440404";"";"None";"269.74";"0";"3.90";"TD72";"Clc1nc2ccccc2nc1NCc1ccccc1";"Activity";"'='";"120.7";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4420567";"Cytotoxicity against human NCI-H358 cells assessed as cell viability at 1 uM incubated for 48 hrs by MTT assay relative to control";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H358";"None";"";"";"";"CHEMBL614135";"NCI-H358";"Homo sapiens";"CELL-LINE";"CHEMBL4420066";"38";"Patent Bioactivity Data";"";"2017";"CHEMBL3307543";"";"";""
"CHEMBL4468709";"";"None";"463.39";"1";"6.74";"ITRI TD-607";"Nc1ccc2nc(Nc3ccc(C(F)(F)F)cc3)c(Nc3ccc(C(F)(F)F)cc3)nc2c1";"Activity";"'='";"116.1";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4420567";"Cytotoxicity against human NCI-H358 cells assessed as cell viability at 1 uM incubated for 48 hrs by MTT assay relative to control";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H358";"None";"";"";"";"CHEMBL614135";"NCI-H358";"Homo sapiens";"CELL-LINE";"CHEMBL4420066";"38";"Patent Bioactivity Data";"";"2017";"CHEMBL3307543";"";"";""
"CHEMBL4445454";"";"None";"368.48";"1";"6.24";"TD59";"CCc1cccc(Nc2nc3ccccc3nc2Nc2cccc(CC)c2)c1";"Activity";"'='";"19.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4420568";"Cytotoxicity against human NCI-H358 cells assessed as cell viability at 10 uM incubated for 48 hrs by MTT assay relative to control";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H358";"None";"";"";"";"CHEMBL614135";"NCI-H358";"Homo sapiens";"CELL-LINE";"CHEMBL4420066";"38";"Patent Bioactivity Data";"";"2017";"CHEMBL3307543";"";"";""
