"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL1095801";"";"None";"327.33";"0";"-0.11";"8d";"CCOC(=O)CC[C@@H](C(=O)OCC)N1C(=O)[C@H]2COC[C@H]2C1=O";"Inhibition";"'='";"34.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1121189";"Cytotoxicity against human SW480 cells at 100 uM after 72 hrs by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SW480";"None";"";"";"";"CHEMBL612544";"SW480";"Homo sapiens";"CELL-LINE";"CHEMBL1157873";"1";"Scientific Literature";"Eur J Med Chem";"2010";"CHEMBL3307758";"";"";""
"CHEMBL1095677";"";"None";"226.23";"0";"-1.13";"8g";"O=C1[C@H]2COC[C@H]2C(=O)N1N1CCOCC1";"Inhibition";"'='";"10.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1121189";"Cytotoxicity against human SW480 cells at 100 uM after 72 hrs by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SW480";"None";"";"";"";"CHEMBL612544";"SW480";"Homo sapiens";"CELL-LINE";"CHEMBL1157873";"1";"Scientific Literature";"Eur J Med Chem";"2010";"CHEMBL3307758";"";"";""
"CHEMBL1098769";"";"None";"213.23";"0";"-0.61";"8l";"CCC(CO)N1C(=O)[C@H]2COC[C@H]2C1=O";"Inhibition";"'<'";"10.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1121189";"Cytotoxicity against human SW480 cells at 100 uM after 72 hrs by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SW480";"None";"";"";"";"CHEMBL612544";"SW480";"Homo sapiens";"CELL-LINE";"CHEMBL1157873";"1";"Scientific Literature";"Eur J Med Chem";"2010";"CHEMBL3307758";"";"";""
"CHEMBL1253526";"";"None";"609.85";"2";"7.21";"8";"C=C(C)[C@@H]1CC[C@]2([C@H](O)c3nn[nH]c3C(=O)OC)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(C)=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12";"IC50";"'='";"14700.0";"nM";"4.83";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1250715";"Cytotoxicity against human SW480 cells after 96 hrs by sulforhodamine B assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SW480";"None";"";"";"";"CHEMBL612544";"SW480";"Homo sapiens";"CELL-LINE";"CHEMBL1250553";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"CHEMBL3307758";"";"";""
"CHEMBL1957112";"TRIGONOSTEMINE E";"None";"341.37";"0";"4.65";"5";"COc1ccc2c(c1)[nH]c1c(-c3ccnc4ccccc34)nc(O)cc12";"IC50";"'='";"39050.0";"nM";"4.41";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1958907";"Cytotoxicity against human SW480 cells after 48 hrs by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SW480";"None";"";"";"";"CHEMBL612544";"SW480";"Homo sapiens";"CELL-LINE";"CHEMBL1955794";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"CHEMBL3307758";"";"";""
"CHEMBL448256";"";"None";"637.73";"1";"2.51";"IIe";"C=C1C(=O)[C@]23[C@H](OC(=O)C(Cc4ccccc4)NC(=O)CCCCC(=O)O)[C@@H]1CC[C@H]2[C@@]12CO[C@]3(O)[C@@H](O)[C@@H]1C(C)(C)CCC2=O";"IC50";"'='";"7300.0";"nM";"5.14";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL976469";"Cytotoxicity against human SW480 cells by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SW480";"None";"";"";"";"CHEMBL612544";"SW480";"Homo sapiens";"CELL-LINE";"CHEMBL1155921";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"CHEMBL3307758";"";"";""
"CHEMBL464130";"";"None";"509.60";"1";"1.70";"IId";"C=C1C(=O)[C@]23[C@H](OC(=O)C(N)Cc4ccccc4)[C@@H]1CC[C@H]2[C@@]12CO[C@]3(O)[C@@H](O)[C@@H]1C(C)(C)CCC2=O";"IC50";"'='";"15040.0";"nM";"4.82";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL976469";"Cytotoxicity against human SW480 cells by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SW480";"None";"";"";"";"CHEMBL612544";"SW480";"Homo sapiens";"CELL-LINE";"CHEMBL1155921";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"CHEMBL3307758";"";"";""
"CHEMBL258099";"";"None";"346.53";"0";"4.32";"15";"CCN(CC)CCNc1c2ccccc2nc2sc(SC)nc12";"IC50";"'='";"27970.0";"nM";"4.55";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL929586";"Antiproliferative activity against human SW480 cells after 72 hrs by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SW480";"None";"";"";"";"CHEMBL612544";"SW480";"Homo sapiens";"CELL-LINE";"CHEMBL1143126";"1";"Scientific Literature";"Bioorg Med Chem";"2008";"CHEMBL3307758";"";"";""
"CHEMBL271063";"";"None";"352.49";"1";"5.35";"10g";"CNc1cccc(Nc2c3ccccc3nc3sc(SC)nc23)c1";"IC50";"'='";"101380.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL929586";"Antiproliferative activity against human SW480 cells after 72 hrs by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SW480";"None";"";"";"";"CHEMBL612544";"SW480";"Homo sapiens";"CELL-LINE";"CHEMBL1143126";"1";"Scientific Literature";"Bioorg Med Chem";"2008";"CHEMBL3307758";"";"";""
"CHEMBL270218";"";"None";"357.89";"1";"5.96";"11a";"CSc1nc2c(Nc3ccc(Cl)cc3)c3ccccc3nc2s1";"IC50";"'>'";"200000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL929586";"Antiproliferative activity against human SW480 cells after 72 hrs by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SW480";"None";"";"";"";"CHEMBL612544";"SW480";"Homo sapiens";"CELL-LINE";"CHEMBL1143126";"1";"Scientific Literature";"Bioorg Med Chem";"2008";"CHEMBL3307758";"";"";""
"CHEMBL325972";"";"None";"541.54";"2";"1.38";"5d";"Nc1nc(O)c2c(n1)CCc1ccc(S(=O)(=O)Nc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cc1-2";"CCCT";"'='";"7.9";"uM";"";"";"";"UO_0000064";"";"";"";"";"0";"CHEMBL804418";"Cell culture cytotoxicity of SW480 colon adenocarcinoma cells";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SW480";"None";"";"";"";"CHEMBL612544";"SW480";"Homo sapiens";"CELL-LINE";"CHEMBL1126944";"1";"Scientific Literature";"J Med Chem";"1993";"CHEMBL3307758";"";"";""
"CHEMBL73018";"";"None";"273.36";"0";"2.64";"6t";"CCSc1ccc2c(c1)-c1c(O)nc(N)nc1CC2";"IC50";"'='";"40000.0";"nM";"4.40";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL805255";"Inhibition of the growth of the human tumor cell line SW480 (colon adenocarcinoma)";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SW480";"None";"";"";"";"CHEMBL612544";"SW480";"Homo sapiens";"CELL-LINE";"CHEMBL1126757";"1";"Scientific Literature";"J Med Chem";"1993";"CHEMBL3307758";"";"";""
"CHEMBL437950";"";"None";"322.32";"0";"-0.34";"18";"O=C(NCCc1cnc[nH]1)NC(=O)C1C(C(=O)O)[C@@H]2CC[C@H]1O2";"Inhibition";"'='";"33.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL894502";"Cytotoxicity against human SW480 cells at 100 uM";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SW480";"None";"";"";"";"CHEMBL612544";"SW480";"Homo sapiens";"CELL-LINE";"CHEMBL1148019";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"CHEMBL3307758";"";"";""
"CHEMBL35936";"";"None";"453.46";"1";"1.89";"1b";"Cc1c(NCc2ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc2)ccc2nc(N)nc(O)c12";"IC50";"'='";"10100.0";"nM";"5.00";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL805257";"Inhibition of cell growth against SW480 human gastrointestinal adenocarcinoma cell lines in vitro";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SW480";"None";"";"";"";"CHEMBL612544";"SW480";"Homo sapiens";"CELL-LINE";"CHEMBL1123821";"1";"Scientific Literature";"J Med Chem";"1987";"CHEMBL3307758";"";"";""
"CHEMBL1085716";"BIS(ETHYLCARBAMATE)BETULIN";"None";"584.89";"2";"8.50";"9";"C=C(C)[C@@H]1CC[C@]2(COC(=O)NCC)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)NCC)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12";"IC50";"'='";"2770.0";"nM";"5.56";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1119733";"Cytotoxicity against human SW480 cells after 96 hrs by SRB assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SW480";"None";"";"";"";"CHEMBL612544";"SW480";"Homo sapiens";"CELL-LINE";"CHEMBL1155488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307758";"";"";""
"CHEMBL393476";"";"None";"228.25";"0";"2.22";"3";"COc1cc(CO)cc2c1[nH]c1ncccc12";"IC50";"'='";"63100.0";"nM";"4.20";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL898401";"Antiproliferative activity against human SW480 cells after 72 hrs";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SW480";"None";"";"";"";"CHEMBL612544";"SW480";"Homo sapiens";"CELL-LINE";"CHEMBL1149612";"1";"Scientific Literature";"Bioorg Med Chem";"2007";"CHEMBL3307758";"";"";""
"CHEMBL504557";"";"None";"712.85";"2";"1.72";"1";"Cc1nc2c(=O)[nH]c1CCC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](Cc1c[nH]c3ccccc13)C(=O)N[C@@H](CCCCN)C(=O)NCCCC2";"Activity";"'='";"24.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL942228";"Antiproliferative activity against human SW480 cells at 10 uM by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SW480";"None";"";"";"";"CHEMBL612544";"SW480";"Homo sapiens";"CELL-LINE";"CHEMBL1152262";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"CHEMBL3307758";"";"";""
"CHEMBL123292";"CYCLOHEXIMIDE";"-1.0";"281.35";"0";"1.04";"Cycloheximide";"C[C@@H]1C[C@@H]([C@H](O)CC2CC(=O)NC(=O)C2)C(=O)[C@@H](C)C1";"Activity";"'='";"85.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL942229";"Antiproliferative activity against human SW480 cells at 25 uM by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SW480";"None";"";"";"";"CHEMBL612544";"SW480";"Homo sapiens";"CELL-LINE";"CHEMBL1152262";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"CHEMBL3307758";"";"";""
