,pChEMBL Value,Smiles,Molecule ChEMBL ID,Label,Standard Type
0,0.0,COc1cc2c(N3CCN(C(=S)SCc4cccnc4)CC3)ncnc2cc1OCCCN1CCCCC1,CHEMBL4456571,MCF-7,IC50
1,0.0,FC(F)(F)c1ccccc1-c1nc2ccc(Nc3ccnc4ccccc34)cc2[nH]1,CHEMBL3323606,MCF-7,IC50
2,0.0,C[C@@]12CC[C@@H]3[C@@](CC[C@H]4[C@@]3(C)CCC[C@@]4(C)C(=O)OCC[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)CCOC(=O)[C@]3(C)CCC[C@@]4(C)[C@@H]5CC[C@@]6(C)C[C@]5(CC[C@@H]43)CC6=O)(CC1=O)C2.[Br-].[Br-],CHEMBL3220804,MCF-7,IC50
3,0.0,CCCCCCCCCCn1cc(/C=C/C(=O)c2ccc(N)cc2)nn1,CHEMBL4632542,MCF-7,IC50
4,0.0,COc1cccc2c1N(C(=O)CCn1c(C)[n+](Cc3ccc4ccccc4c3)c3ccccc31)C[C@@H]1Cc3ccccc3[C@H]21.[Br-],CHEMBL4441572,A549,IC50
5,0.0,CC1=C[C@@]2(C)C(=C(C)[C@H]3[C@@H]4C[C@H](C)C[C@H](C)[C@H]4[C@H]4Oc5ccc(cc5)C[C@]5(O)NC(=O)[C@]6(O[C@H]65)C(=O)[C@H]2[C@@H]43)[C@H]1C,CHEMBL4469905,MDA-MB-435,IC50
6,0.0,CC1(C)CCC[C@@](C)(O)[C@H]2CC[C@]3(C)[C@@H]2[C@@H](C[C@@H]2[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@]23C)O1,CHEMBL4545225,MCF-7,IC50
7,0.0,CC1(C)C=Cc2c(I)cc3oc(=O)cc(-c4ccccc4)c3c2O1,CHEMBL555143,MCF-7,IC50
8,0.0,CC(C)Cc1ccc(C(C)C(=O)NCCC[Se]C#N)cc1,CHEMBL4788461,MCF-7,IC50
9,1.0,COc1ccc(N(C)c2nc(C)nc3ccn(C)c23)cc1.Cl,CHEMBL4290881,MDA-MB-435,IC50
10,0.0,COc1cccc(C(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)c1,CHEMBL187822,HT-29,IC50
11,0.0,COc1ccc(-c2cc3ccccc3nc2/C=C/C(=O)c2ccc(F)cc2)cc1,CHEMBL2313883,SK-BR-3,IC50
12,0.0,COc1ccc(-c2ccccc2C(=O)/C=C/c2ccc(Br)cc2)cc1OC,CHEMBL3393084,SW480,IC50
13,0.0,Cc1ccsc1CN(C(=O)Nc1ccccc1)n1cnnc1,CHEMBL4127181,A549,IC50
14,1.0,Oc1cccc(-c2cc(-c3cccs3)cc(-c3ccccc3Cl)n2)c1,CHEMBL3780888,T47D,IC50
15,0.0,CCOC(=O)[C@@H]1[C@@H](C(=O)c2ccccc2)C12C(=O)Nc1ccccc12,CHEMBL3628025,A549,IC50
16,0.0,O=C(Nc1ccc(Cl)c(-c2nnc3c(Cl)cccn23)c1)c1c(F)cccc1Cl,CHEMBL4636761,A549,IC50
17,0.0,COc1ccc2ccccc2c1S(=O)(=O)Nc1ccc2[nH]c3ccncc3c2c1,CHEMBL1289241,A549,IC50
18,0.0,O=C(/C=C/c1ccc([N+](=O)[O-])cc1)O[C@H](c1ccccc1)[C@H]1O[C@@H]2CC(=O)O[C@@H]2[C@H]1O,CHEMBL3338971,MCF-7,IC50
19,0.0,COc1cc([C@@H]2c3cc4c(cc3[C@@H](NC(=O)/C=C/c3ccc(Br)cc3)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,CHEMBL1927244,HT-29,IC50
20,0.0,Cc1ccc(C(=O)c2c(-c3ccccc3)sc3c2CCCC3)cc1,CHEMBL4093695,Caco-2,IC50
21,1.0,C[C@@H]1CCC2[C@@H](C)[C@@H](O[C@H](C#N)c3ccccc3)O[C@@H]3O[C@]4(C)CCC1[C@@]23OO4,CHEMBL2110193,A549,IC50
22,0.0,COc1ccc(I)c(Sc2nc3c(N)ncnc3n2CCCNC(C)C)c1,CHEMBL381521,MCF-7,IC50
23,0.0,Oc1c(CN2CCCC2)cc(Cn2ncc(-c3ccccc3Br)n2)c2cccnc12,CHEMBL4865414,MDA-MB-435,IC50
24,0.0,CCOP(=O)(OCC)OCn1c(=O)c(F)cn(C2CCCO2)c1=O,CHEMBL252568,HT-29,IC50
25,0.0,CN1c2ccccc2C(=O)N2CCc3c(n(CCCCC(=O)Oc4ccc(-c5cc(=S)ss5)cc4)c4ccccc34)C21,CHEMBL4161032,Caco-2,IC50
26,0.0,CCOC(=O)[C@@H]1CS[C@@]2(C(=O)N(C)c3ccc(Br)cc32)N1C(=O)Cc1ccc(Cl)cc1,CHEMBL2398618,HT-29,IC50
27,0.0,CN(C)CC(=O)Nc1ccc(Nc2nc(-c3ccc(O)cc3)cc(-c3ccc(O)cc3)n2)cc1,CHEMBL4226736,MCF-7,IC50
28,0.0,CC1CCCC(C)N1CCNc1n[n+]([O-])c2ccccc2[n+]1[O-],CHEMBL239109,HT-29,IC50
29,1.0,CCCn1cnc2c(N3CCOC[C@@H]3C)cc(-c3ccc(NC(=O)NCC)cc3)nc21,CHEMBL4084564,MCF-7,IC50
30,0.0,C=C1[C@H](n2ccc(NC(=O)O[C@@H](C)[C@@H](NC(=O)[C@@H](N)Cc3ccc(-c4ccccc4)cc3)C(=O)O)nc2=O)O[C@H](CO)[C@H]1O,CHEMBL393662,HCT-116,IC50
31,1.0,CC(=O)O[C@H]1C(=O)[C@@]2(C)C([C@H](Oc3ccccc3)[C@]34OC(=O)O[C@H]3[C@H](OC(=O)[C@H](O)[C@H](CC(C)C)NC(=O)OC(C)(C)C)C(C)=C1C4(C)C)[C@]1(OC(C)=O)COC1C[C@@H]2O,CHEMBL407883,A549,IC50
32,1.0,C=C(C)[C@@]12O[C@@]3(/C=C/C=C/CCCCCCCCC)O[C@@H]1[C@@H]1[C@@H]4O[C@]4(CO)[C@@H](O)[C@]4(O)C(=O)C(C)=C[C@H]4[C@@]1(O3)[C@H](C)[C@H]2OC(C)=O,CHEMBL3309438,A549,IC50
33,0.0,COc1ccc(-c2c(-c3ccc(O)cc3)cn3c2-c2cc(OC)c(OC)cc2CC3)cc1,CHEMBL573756,HCT-116,IC50
34,1.0,CO[C@H]1C[C@H](C)CC2=C(N3CCC3)C(=O)C=C(NC(=O)/C(C)=C/CC[C@H](OC)[C@@H](OC(N)=O)/C(C)=C/[C@H](C)[C@@H]1F)C2=O,CHEMBL339891,SK-BR-3,IC50
35,0.0,COc1ccc([C@@H](C)N(CC=C(c2ccccc2)c2ccccc2)CCN2CCN(C)CC2)cc1,CHEMBL4858481,NCI-H23,IC50
36,0.0,CC(C)c1ccc(NC(=O)NCCCl)cc1,CHEMBL356033,MDA-MB-231,IC50
37,0.0,O=C(O)c1ccc(-n2cc(CO[C@H]3CC(=O)[C@@H]4OC[C@H]3O4)nn2)cc1,CHEMBL4636554,MDA-MB-231,IC50
38,0.0,Cc1[nH]c(/C=C2\C(=O)N(CCCN(C)C)c3ccc(F)cc32)c(C)c1C(=O)N1CCN(C)CC1.Cl.Cl,CHEMBL3216969,A549,IC50
39,0.0,C/N=N\N(C)C(C)=O,CHEMBL316041,MCF-7,IC50
40,1.0,C=CC(=O)Nc1cc(Nc2ncc(C#N)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,CHEMBL3353406,A549,IC50
41,0.0,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Oc1c(Br)cc(Br)cc1/C=N/OCc1ccc(Cl)cc1Cl,CHEMBL2018125,A549,IC50
42,0.0,Cc1ccc(N(C(=O)c2sc(C)nc2C)C(C(=O)NC2CCCCC2)c2cccnc2)cc1,CHEMBL4565508,A549,IC50
43,0.0,CCOC(=O)N1CCc2cc(OC)c(OCC)c3c2[C@@H]1Cc1cc2c(cc1-3)OCO2,CHEMBL1808249,Caco-2,IC50
44,0.0,CCN(CC)CCOc1ccc(C(c2c(O)ccc3ccccc23)N2CCC(O)CC2)cc1,CHEMBL1823986,MCF-7,IC50
45,0.0,CC1=C2[C@H]3OC(=O)[C@@H](CSc4nc5ccccc5c(=O)[nH]4)[C@@H]3CC[C@@]2(C)C=CC1=O,CHEMBL3613401,HCT-116,IC50
46,0.0,Cc1cccc(NC(=O)Nc2ccc(Sc3nc(C)cc(C)n3)cc2)c1,CHEMBL1652333,MCF-7,IC50
47,0.0,Cc1cc2c(cc1C)[n+](Cc1ccc3ccccc3c1)cn2CC(=O)N1CCC2(C)c3ccccc3N(C)C12.[Br-],CHEMBL3745908,A549,IC50
48,1.0,CCCCCOc1nc2ccccc2nc1C(=O)c1cc(OC)c(OC)c(OC)c1,CHEMBL4758003,A549,IC50
49,1.0,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(C(=O)N4CCN(C(=O)CN5C(=O)S/C(=C\C(C)C)C5=O)CC4)CC[C@]3(C)CC[C@]12C,CHEMBL5173685,A549,IC50
50,1.0,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3nc(CO)c(Cc4ccc(F)cc4)cc32)[C@@H](CN2[C@H](C)COC[C@H]2C)CN1,CHEMBL4166057,MDA-MB-231,IC50
51,0.0,NCCCCCNCCCNC1=CC(=O)c2cc3cc4ccccc4cc3cc2C1=O,CHEMBL487838,HT-29,IC50
52,0.0,CCCCCC(=O)Nc1cc2c(cc1F)c(=O)c(C(=O)OCC)cn2CC,CHEMBL3746328,A549,IC50
53,0.0,CC1=C(C)C(=O)O[C@@H]([C@@H](C)[C@H]2CC[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4CC[C@]23C)C1,CHEMBL1782226,MCF-7,IC50
54,0.0,C=C(C)[C@]1(O)C[C@@H](C)[C@@]2(O)[C@H]([C@H]1OC(=O)c1ccccc1)[C@H](O)[C@](O)(COC(=O)/C=C/C=C/CCCCC)[C@@H](O)[C@@]1(O)[C@H]2C[C@H](C)[C@@H]1O,CHEMBL2376826,A549,IC50
55,0.0,O=C(/C=C/c1ccc(N2CCCC2)cc1)c1ccc([N+](=O)[O-])cc1,CHEMBL2382119,T47D,IC50
56,0.0,Cl.NS(=O)(=O)c1cc(-c2nnc(CNCc3ccc(Cl)cc3)o2)c(Cl)cc1SCc1ccccc1,CHEMBL4084651,MCF-7,IC50
57,0.0,O=C1C=C(/N=C\c2c[nH]c3ccccc23)c2ccccc2C1=O,CHEMBL2282722,MCF-7,IC50
58,0.0,O=C(N/N=C/c1ccccc1)c1cc2c([nH]c3ccccc32)c(-c2ccc([N+](=O)[O-])cc2)n1,CHEMBL583335,MCF-7,IC50
59,0.0,COc1ccccc1C1(NCc2ccc(O)c(CN3CCN(C)CC3)c2)CCCC1,CHEMBL3590559,BT-474,IC50
60,1.0,Cc1nc2ccc(NCCN(C)C)c3c(=O)c4ccccc4n1c23,CHEMBL147350,HCT-116,IC50
61,0.0,COc1ccc(Nc2nc(SCc3ccc(C(F)(F)F)cc3)nc3ccccc23)cc1OC,CHEMBL4447068,MDA-MB-231,IC50
62,0.0,CNC(=O)c1cc(Oc2ccc(NC(=O)c3ccc(Cl)cc3)cc2)ccc1N,CHEMBL4560057,MDA-MB-468,IC50
63,0.0,CC(=O)Oc1ccccc1C(=O)NCC[Se]C#N,CHEMBL3793801,HT-29,IC50
64,1.0,O=C1c2ccncc2C(=O)c2c1[nH]c1ccc([N+](=O)[O-])cc21,CHEMBL4160678,HCT-116,IC50
65,0.0,CC/C(=C(\c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccc(CCC(=O)NO)cc1,CHEMBL4240593,MCF-7,IC50
66,1.0,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c4c(ccc3nc2-1)OCCN4C,CHEMBL297811,SK-BR-3,IC50
67,0.0,N#Cc1c(O)nc2nn3c4cc(O)ccc4nnc3c2c1-c1ccccc1Cl,CHEMBL4797117,MDA-MB-231,IC50
68,0.0,CC(C)c1cnn2c(NCc3ccccc3)cc(NC[C@@H]3CCNC[C@H]3O)nc12,CHEMBL4459754,MDA-MB-231,IC50
69,0.0,C=C1CN(C)N(c2ccc(Cl)cc2)C1=O,CHEMBL3409392,MCF-7,IC50
70,0.0,COc1ccc2c(c1)CCC(=O)/C2=C/c1ccc(N(C)C)cc1,CHEMBL2153130,MDA-MB-435,IC50
71,0.0,CC1(C)C[C@@H](O)C[C@]2(C)[C@@H]1[C@H](O)C[C@@]13C[C@@H](CC[C@H]12)[C@@](O)(CO)C3,CHEMBL257595,LoVo,IC50
72,0.0,Cn1c(-c2ccc(Cl)cc2)c(SC#N)c2ccccc21,CHEMBL3823516,MCF-7,IC50
73,0.0,COC1=C(OC)[C@]23C(=CC1=O)[C@H](OC(=O)COc1ccc(C(C)C)cc1)[C@H](C)[C@@]2(C)Cc1cc(OC)c(OC)c(OC)c13,CHEMBL4211472,MCF-7,IC50
74,0.0,COc1cccc(/C=N/N=C2/c3cc(Cl)ccc3-n3c2nc2ccccc2c3=O)c1O,CHEMBL4089095,A549,IC50
75,0.0,CCCc1ccc(NC(=O)NCCCl)cc1,CHEMBL161374,LoVo,IC50
76,0.0,CC(C)(COC(=O)N1c2ccccc2[C@@]23O[C@]24CCC[C@@H]3C#C/C=C\C#C[C@H]14)S(=O)(=O)c1ccccc1,CHEMBL277573,HT-29,IC50
77,0.0,O=C(Cc1ccc(-c2ccc(OCCN3CCOCC3)cc2)cn1)NCc1cccc(F)c1,CHEMBL4452185,HT-29,IC50
78,0.0,C/C(=N\NC(=O)Nc1nc2ccc(CN3CCC(C)CC3)cc2s1)c1ccccn1,CHEMBL4569152,MCF-7,IC50
79,1.0,Oc1ccc(-c2[nH]c3ccccc3c2-c2nc3ccccc3o2)cc1,CHEMBL1929130,MCF-7,IC50
80,0.0,C/C=C/c1ccc(Nc2ncnc3cc(OCc4ccccc4)c(OCc4ccccc4)cc23)cc1,CHEMBL4213001,SW480,IC50
81,0.0,O=C(Nc1nc2ccc([N+](=O)[O-])cc2[nH]1)c1cc2ccccc2o1,CHEMBL2315757,SW-620,IC50
82,1.0,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]34OC(=O)O[C@H]3[C@H](OC(=O)[C@H](O)[C@H](C=C(C)C)NC(=O)C(C)(C)C)C(C)=C1C4(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,CHEMBL1096569,HT-29,IC50
