,pChEMBL Value,Smiles,Molecule ChEMBL ID,Label
0,0.0,COc1cc(C2=NN(C(N)=O)C(c3cn(Cc4ccc(OCCN5CCCCC5)cc4)c4ccc(Br)cc34)C2)cc(OC)c1OC,CHEMBL4800313,A549
1,0.0,COc1cc(/C=C/C(=O)c2c(O)cc(O)cc2OC)cc(OC)c1,CHEMBL3416010,A549
2,1.0,CC/C=C\C(=O)Nc1cc(Nc2nc3c(c(-c4cn(C)c5ccc(F)cc45)n2)CSCC3)c(OC)cc1N(C)CCN(C)C,CHEMBL4476689,A549
3,0.0,COc1ccc(-c2nn3c(-c4cc(OC)c(OC)c(OC)c4)nnc3s2)cc1[N+](=O)[O-],CHEMBL4173845,A549
4,0.0,COc1cc(OC)c(-c2cn3ccc(N4CCNCC4)nc3n2)cc1Cl,CHEMBL4533841,A549
5,0.0,[O-]/[N+](=C\c1cn(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)nn1)Cc1ccccc1,CHEMBL3260133,A549
6,0.0,C=CC[C@@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c1c(C(C)C)cc(C(C)C)cc1C(C)C,CHEMBL4469205,A549
7,1.0,Nc1ccccc1NC(=O)c1ccc(CNc2cccc3c2N(S(=O)(=O)c2ccc(O)cc2)CC3)cc1,CHEMBL4532548,A549
8,1.0,CNCc1cccn1-c1nc(-c2ccc(F)cc2)cc(-c2cc(OC)c(OC)c(OC)c2)c1C#N,CHEMBL4161317,A549
9,0.0,CP(C)(=O)c1ccccc1Nc1nc(Nc2cnn(CC(F)F)c2)nc2[nH]ccc12,CHEMBL4577625,A549
10,1.0,COc1cc([C@@H]2c3cc4c(cc3C[C@H]3COC(=O)[C@@H]32)OCO4)cc(OC)c1OC(=O)N[C@H](CCSC)C(N)=O,CHEMBL1923600,A549
11,1.0,O=S(=O)(c1ccc(-c2ccnc(Nc3ccc4ncsc4c3)n2)cc1)N1CCCCC1,CHEMBL401919,A549
12,0.0,CCN(CC)CCCNc1nc2ccccc2nc1-c1nc2cc(Cl)ccc2o1,CHEMBL4529289,A549
13,0.0,CC1=CC[C@]23O[C@@]2(C)CC[C@@H]2[C@H](OC(=O)[C@H]2CSCCO)[C@@H]13,CHEMBL4073552,A549
14,1.0,CC(C)=CCc1c(O)cc(O)c2c1O[C@@]13C(=C[C@H]4C(=O)C1(CC=C(C)C)OC[C@@H]3[C@H]4CN1CCN(c3ccccc3)CC1)C2=O,CHEMBL2336099,A549
15,1.0,CC(C)n1nnc2c1C(=O)c1cnncc1C2=O,CHEMBL260224,A549
16,0.0,C=C1C(=O)O[C@H]2[C@H]1[C@@H](OC(=O)[C@](C)(O)CCl)CC(=C)[C@@H]1C[C@H](O)[C@](O)(CCl)[C@H]21,CHEMBL272221,A549
17,0.0,O=C1NC(=O)c2c1c1c3cc(OCc4ccccc4)ccc3[nH]c1c1cccn21,CHEMBL427684,A549
18,0.0,NC(CCCCNP(=O)(OCc1ccc([N+](=O)[O-])o1)N(CCCl)CCCl)C(=O)O,CHEMBL159380,A549
19,1.0,COc1cc(OC)c(-c2cn3ccc(N4CCN(c5cnc(N6CCCC6)nc5)CC4)cc3n2)cc1Cl,CHEMBL4555762,A549
20,0.0,CCCCCCCCCCCCO[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,CHEMBL1958183,A549
21,0.0,CCN1CCN(C(=O)c2c(C)[nH]c(/C=C3\C(=O)N(CCCN(C)C)c4ccc(F)cc43)c2C)CC1.Cl.Cl,CHEMBL3217177,A549
22,0.0,CCCn1nc(-c2cn(Cc3ccc(Cl)c(Cl)c3)c3ccccc23)cc1C(=O)NN,CHEMBL1910484,A549
23,0.0,C=C(C)[C@@H]1CC=C2[C@@H](CC[C@]23C(=C)CC[C@@]3(C)[C@H](C)CC(=O)[C@H]2CC(CCC=C(C)C)=CC[C@]2(C)C(=O)O)[C@@]1(C)CCC(=O)OC,CHEMBL3758616,A549
24,0.0,C=CCc1cc(C=O)c(O)c(-c2ccc(O)c(CC=C)c2)c1,CHEMBL562336,A549
25,0.0,COC(=O)c1ccc(-n2cc(CCCOS(=O)(=O)c3ccc(-c4ccccc4)cc3)nn2)cc1,CHEMBL4642834,A549
26,0.0,COc1cc(OCc2cccc(-c3ccc4c(c3)OCCO4)c2C)cc(OC)c1CNCCCCCC(=O)NO,CHEMBL5175835,A549
27,0.0,O=c1cc(-c2ccc(O)c(-c3c(O)cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc34)c2)oc2cc(O)cc(O)c12,CHEMBL63354,A549
28,0.0,C[C@@H](CC[C@H]1O[C@H]2C[C@H]3[C@@H]4CC[C@@H]5C[C@@H](OCc6ccc(F)cc6)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2[C@@H]1C)CN1CCCC1,CHEMBL4099617,A549
29,0.0,CCc1n(Cc2cc3ccccc3o2)cc[n+]1C(C(=O)c1ccccc1)c1ccccc1.[Br-],CHEMBL2430079,A549
30,0.0,COc1cc2c(cc1CCC(C)C)C(=O)C[C@@H](c1ccc(O)cc1)O2,CHEMBL4173818,A549
31,0.0,CN(C)CCN1C(=O)c2cccc3c(N4CCN(C/C=C/c5ccc(N(C)C)cc5)CC4)ccc(c23)C1=O,CHEMBL568238,A549
32,1.0,C=CCc1ccc(OCCCCCc2c3[n+](cc4c(OC)c(OC)ccc24)CCc2cc4c(cc2-3)OCO4)c(-c2ccc(O)c(CC=C)c2)c1.[I-],CHEMBL4798474,A549
33,0.0,C=C1CC[C@@H]2[C@](C)(COC(C)=O)[C@H](OC(C)=O)CC[C@@]2(C)[C@@H]1C[C@H](SC(=S)N1CCC(Cc2ccccc2)CC1)C1=CCOC1=O,CHEMBL4633110,A549
34,1.0,CN(CCCl)c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL4765122,A549
35,0.0,CCN(CC)c1ccc(/C=N/C[C@]2(C)CCC[C@]3(C)c4ccc(C(C)C)cc4CC[C@@H]23)c(O)c1,CHEMBL4172213,A549
36,0.0,C=CCCCCOc1ncc(-c2cccc(OC)c2OC)n1C,CHEMBL3092923,A549
37,0.0,CC(=O)Oc1ccc(-c2cc3c(OC(C)=O)cc(OC(C)=O)cc3n(C)c2=O)cc1,CHEMBL85761,A549
38,0.0,O=C(CCCCCCCN(Cc1ccc(F)cc1)c1ncc(C(=O)NCCCn2ccnc2)s1)NO,CHEMBL4170109,A549
39,0.0,O=C1CC(c2cccs2)c2c(sc(-c3ccc(Cl)cc3)c2-c2ccc(Cl)cc2)N1,CHEMBL2386580,A549
40,1.0,CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1CCO,CHEMBL4556326,A549
41,0.0,O=C(O)c1ccc(CN2C(=O)S/C(=C\c3ccccn3)C2=O)cc1,CHEMBL2236301,A549
42,0.0,O.O.O=C(Nc1nnc(-c2cccc(O)c2O)s1)c1ccc(Cl)cc1,CHEMBL4068406,A549
43,1.0,COc1cc2c(Oc3ccc(NC(=O)c4cc(-c5ccc(C)cc5)ccn4)cc3F)ccnc2cc1OCCCN1CCN(C)CC1,CHEMBL2435999,A549
44,1.0,CCCNC(=O)N[C@]1(C)CC[C@]2(C)CC[C@]3(C)C4=CC=C5C(=CC(=O)C(O)=C5C)[C@]4(C)CC[C@@]3(C)[C@@H]2C1,CHEMBL4213144,A549
45,1.0,COc1c(Cl)c2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(=O)N(C)C)CC2,CHEMBL3134540,A549
46,0.0,Cc1cc2c(cc1C)[n+](Cc1ccc(Br)cc1)cn2CC(=O)N1CCC2(C)c3ccccc3N(Cc3ccccc3)C12.[Br-],CHEMBL3746905,A549
47,0.0,O=C1ON=C2COc3ccc(-c4ccccc4)cc3C=C12,CHEMBL3127301,A549
48,0.0,C=C[C@@]1(C)CC[C@H](C2=CC[C@H](C(C)(C)O)OC2=O)C[C@@H]1C(=C)C,CHEMBL470132,A549
49,1.0,COc1cc([C@@H]2c3cc4c(cc3[C@@H](NC(=O)NS(=O)(=O)c3ccccc3)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,CHEMBL3105062,A549
50,0.0,CC1C(C(C)(C)O)CCC1(C)/C=C/c1ccc(O)cc1,CHEMBL1946507,A549
51,0.0,O=C(OCCn1c([N+](=O)[O-])cnc1/C=C\c1cccc(Br)c1)c1cccc2c1OCCO2,CHEMBL3261181,A549
52,0.0,CSc1ccc(/C=C/c2ccc3nc4c(oc5ccccc54)c(NCCc4ccc(F)cc4)c3c2)cc1,CHEMBL4205007,A549
53,1.0,C=C(Cl)C(=O)Nc1cc(Nc2nc3c(c(-c4cn(C)c5ccc(F)cc45)n2)CSCC3)c(OC)cc1N(C)CCN(C)C,CHEMBL4546787,A549
54,0.0,Clc1ccc2ccc(-c3nc4ccccc4n3-c3ccccc3)nc2c1,CHEMBL4063833,A549
55,1.0,CC(=O)O[C@@H]1[C@@H](OC(C)=O)[C@H](C)O[C@@H](Oc2cc3c(c4ccccc24)[C@H]([C@@H](C)Cl)CN3C(=O)c2cc3cc(OCCN(C)C)ccc3[nH]2)[C@@H]1OC(C)=O,CHEMBL443642,A549
56,1.0,COc1cc(OCCOc2no[n+]([O-])c2S(=O)(=O)c2ccccc2)cc(C(=O)c2cc(OC)c(OC)c(OC)c2)c1,CHEMBL5181322,A549
57,0.0,CC(C)c1ccc(C2N=C(C(N)=O)c3ncn(-c4ccc(F)cc4)c3N2)cc1,CHEMBL4795888,A549
58,0.0,O=C1C=CC(=O)c2c1ccc1c2c(=O)oc2ccccc21,CHEMBL4098262,A549
59,1.0,COc1cc([C@@H]2c3cc4c(cc3[C@@H](Nc3cc5c6ccccc6ccc5c5ccccc35)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,CHEMBL1288638,A549
60,0.0,C/C=C1\NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](C(C)C)NC(=O)[C@@H]([C@H](C)CC)NC(=O)[C@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)CCCC(C)C)C(C)C)[C@@H](C)O)[C@H](C)CC)[C@H](C)OC(=O)[C@H](C(C)C)NC1=O,CHEMBL454458,A549
61,1.0,CC(C)(C)c1ccc(Cn2nc(-c3ccc(Cl)cc3)cc2C(=O)NO)cc1,CHEMBL3290563,A549
62,1.0,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@H]3CC[C@@H](O)[C@@H](C(C)C)O3)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,CHEMBL4854922,A549
63,0.0,COc1ccc2cc(-c3ccc(CO)cc3)ccc2c1,CHEMBL3330530,A549
64,0.0,COc1ccc(-c2ccnc(Nc3ccc(C(N)=O)cc3)n2)cc1,CHEMBL4102688,A549
